Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
appropriation authorise,use,sound financial management,in accordance with the principle of sound financial management,"['accordance', 'principle', 'sound financial management']",TITLE IV BUDGET IMPLEMENTATION,Article 56  Budget implementation in accordance with the principle of sound financial management ,"[' \nThe Commission shall implement the revenue and expenditure of the budget in accordance with this Regulation, \nunder its own responsibility and within the limits of the appropriations authorised. ', ' \nThe Member States shall cooperate with the Commission so that the appropriations are used in accordance with the \nprinciple of sound financial management. ']",in accordance with the principle of sound financial management
union body,refer,regulation,to in articles 70 and 71 of this regulation,"['article', 'regulation']",TITLE IV BUDGET IMPLEMENTATION,Article 57  Information on transfers of personal data for audit purposes ,"['\nIn any call made in the context of grants, procurement or prizes implemented under direct management, potential \nbeneficiaries, candidates, tenderers and participants shall, in accordance with Regulation (EC) No 45/2001 be informed \nthat, for the purposes of safeguarding the financial interests of the Union, their personal data may be transferred to \ninternal audit services, to the Court of Auditors or to the European Anti-Fraud Office (OLAF) and between authorising \nofficers of the Commission, and the executive agencies referred to in Article 69 of this Regulation and the Union bodies \nreferred to in Articles 70 and 71 of this Regulation. ']",to in articles 70 and 71 of this regulation
appropriation,enter,union action,in the budget for any union action,"['budget', 'union action']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",in the budget for any union action
follow appropriation,implement,follow appropriation,by way of derogation from paragraph 1 and subject to the conditions set out in paragraphs 3 4 and 5 without a basic act provided the actions which the following appropriations are intended to finance fall within the competences of the union,"['way', 'derogation', 'paragraph', 'condition', 'paragraph', 'basic act', 'action', 'follow appropriation', 'fall', 'competence', 'union']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",by way of derogation from paragraph 1 and subject to the conditions set out in paragraphs 3 4 and 5 without a basic act provided the actions which the following appropriations are intended to finance fall within the competences of the union
relevant commitment appropriation,enter,consecutive financial year,with regard to appropriations referred to in point of paragraph 2 in the budget for not more than two consecutive financial years,"['regard', 'appropriation', 'point', 'paragraph', 'budget', 'consecutive financial year']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",with regard to appropriations referred to in point of paragraph 2 in the budget for not more than two consecutive financial years
relevant commitment appropriation,enter,consecutive financial year,in the budget for not more than three consecutive financial years,"['budget', 'consecutive financial year']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",in the budget for not more than three consecutive financial years
total appropriation new preparatory action,refer,paragraph,to in point of paragraph 2,"['point', 'paragraph']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",to in point of paragraph 2
high representative,inform,european parliament,the european parliament and the commission in order to ensure the rapid implementation of preparatory measures as early as possible of the councils intention to launch a preparatory measure and in particular of the estimated resources required for that purpose,"['european parliament', 'commission', 'order', 'rapid implementation', 'preparatory measure', 'council intention', 'preparatory measure', 'estimate resource', 'purpose']",TITLE IV BUDGET IMPLEMENTATION,Article 58  Basic act and exceptions ,"[' \nAppropriations entered in the budget for any Union action shall only be used if a basic act has been adopted. ', ' \nBy way of derogation from paragraph 1, and subject to the conditions set out in paragraphs 3, 4 and 5, the \nfollowing appropriations may be implemented without a basic act provided the actions which they are intended to \nfinance fall within the competences of the Union: \n(a) appropriations for pilot projects of an experimental nature designed to test the feasibility of an action and its \nusefulness; \n(b) appropriations for preparatory actions in the field of application of the TFEU and the Euratom Treaty, designed to \nprepare proposals with a view to the adoption of future actions; \n(c) appropriations for preparatory measures in the field of Title V of the TEU; \n(d) appropriations for one-off actions, or for actions for an indefinite duration, carried out by the Commission by virtue \nof tasks resulting from its prerogatives at institutional level pursuant to the TFEU and to the Euratom Treaty, other \nthan its right of legislative initiative to submit proposals as referred to in point (b) of this paragraph, and under \nspecific powers directly conferred on it by Articles 154, 156, 159 and 160 TFEU, Articles 168(2), 171(2) and 173(2) \nTFEU, the second paragraph of Article 175 TFEU, Article 181(2) TFEU, Article 190 TFEU and Articles 210(2) and \n214(6) TFEU and Articles 70 and 77 to 85 of the Euratom Treaty;   \x0c \n(e) appropriations for the operation of each Union institution under its administrative autonomy. ', ' \nWith regard to appropriations referred to in point (a) of paragraph 2, the relevant commitment appropriations may \nbe entered in the budget for not more than two consecutive financial years. The total amount of appropriations for pilot \nprojects shall not exceed EUR 40 000 000 in any financial year. ', ' \nWith regard to appropriations referred to in point (b) of paragraph 2, preparatory actions shall follow a coherent \napproach and may take various forms. The relevant commitment appropriations may be entered in the budget for not \nmore than three consecutive financial years. The procedure for the adoption of the relevant basic act shall be concluded \nbefore the end of the third financial year. In the course of that procedure, the commitment of appropriations shall \ncorrespond to the particular features of the preparatory action with regard to the activities envisaged, the aims pursued \nand the recipients. As a result, the amount of the appropriations committed shall not correspond to the amount of those \nenvisaged for financing the definitive action itself. \nThe total amount of appropriations for new preparatory actions referred to in point (b) of paragraph 2 shall not exceed \nEUR 50 000 000 in any financial year, and the total amount of appropriations actually committed for preparatory actions \nshall not exceed EUR 100 000 000. ', ' \nWith regard to the appropriations referred to in point (c) of paragraph 2, preparatory measures shall be limited to a \nshort period of time and shall be designed to establish the conditions for Union action in fulfilment of the objectives of \nthe CFSP and for the adoption of the necessary legal instruments. \nFor the purpose of Union crisis management operations, preparatory measures shall be designed, inter alia, to assess the \noperational requirements, to provide for a rapid initial deployment of resources, or to establish the conditions on the \nground for the launching of the operation. Preparatory measures shall be agreed by the Council, on a proposal by the \nHigh Representative. \nIn order to ensure the rapid implementation of preparatory measures, the High Representative shall inform the European \nParliament and the Commission as early as possible of the Council’s intention to launch a preparatory measure and, in \nparticular, of the estimated resources required for that purpose. The Commission shall take all the measures necessary to \nensure a rapid disbursement of the funds. \nThe financing of measures agreed by the Council for the preparation of Union crisis management operations under \nTitle V TEU shall cover incremental costs directly arising from a specific field deployment of a mission or team involving, \ninter alia, personnel from Union institutions, including high-risk insurance, travel and accommodation costs and per diem \npayments. ']",the european parliament and the commission in order to ensure the rapid implementation of preparatory measures as early as possible of the councils intention to launch a preparatory measure and in particular of the estimated resources required for that purpose
servicelevel agreement,refer,paragraph,to in paragraph 2,['paragraph'],TITLE IV BUDGET IMPLEMENTATION,Article 59  Budget implementation by Union institutions other than the Commission ,"[' \nThe Commission shall confer on the other Union institutions the requisite powers for the implementation of the \nsections of the budget relating to them. ', ' \nIn order to facilitate the implementation of their appropriations, Union institutions may conclude service-level \nagreements with each other laying down the conditions governing the provision of services, supply of products, execution \nof works or of building contracts. \nThose agreements shall enable the transfer of appropriations or the recovery of costs, which result from their imple\xad\nmentation. ', ' \nService-level agreements referred to in paragraph 2 may also be agreed upon between departments of Union \ninstitutions, Union bodies, European offices, bodies or persons entrusted with implementation of specific actions in \nthe CFSP pursuant to Title V of the TEU and the Office of the Secretary-General of the Board of Governors of the \nEuropean schools. The Commission and other Union institutions shall report regularly to the European Parliament and to \nthe Council on the service-level agreements they conclude with other Union institutions. ']",to in paragraph 2
delegation,be,union delegation,without prejudice to the responsibility of heads of union delegations for budget implementation,"['prejudice', 'responsibility', 'head', 'union delegation', 'budget implementation']",TITLE IV BUDGET IMPLEMENTATION,Article 60  Delegation of budget implementation powers ,"[' \nThe Commission and each of the other Union institutions may, within their departments, delegate their powers of \nbudget implementation in accordance with the conditions laid down in this Regulation and their internal rules and within \nthe limits laid down in the instrument of delegation. Those so empowered shall act within the limits of the powers \nexpressly conferred upon them. \nL 193/56  \n\x0c ', ' \nIn addition to paragraph 1, the Commission may delegate its powers of budget implementation concerning the \noperational appropriations of its own section of the budget to Heads of Union delegations and, in order to ensure \nbusiness continuity during their absence, to deputy Heads of Union delegations. Such delegation shall be without \nprejudice to the responsibility of Heads of Union delegations for budget implementation. Where the absence of a \nHead of Union delegation exceeds four weeks, the Commission shall revise its decision to delegate powers of budget \nimplementation. When Heads of Union delegations, and their deputies in the absence of the former, act as authorising \nofficers by subdelegation of the Commission, they shall apply the Commission rules for budget implementation and shall \nbe subject to the same duties, obligations and accountability as any other authorising officer by subdelegation of the \nCommission. \nThe Commission may withdraw the delegation of powers referred to in the first subparagraph in accordance with its own \nrules. \nFor the purposes of the first subparagraph, the High Representative shall take the measures necessary to facilitate \ncooperation between Union delegations and Commission departments. ', ' \nThe EEAS may exceptionally delegate its powers of budget implementation concerning the administrative appropri\xad\nations of its own section of the budget to Commission staff of Union delegations where this is necessary in order to \nensure the continuity in the administration of such delegations in the absence of the EEAS competent authorising officer \nfrom the country where his or her delegation is based. In the exceptional cases where Commission staff of Union \ndelegations act as authorising officers by subdelegation of the EEAS, they shall apply the EEAS internal rules for budget \nimplementation and shall be subject to the same duties, obligations and accountability as any other authorising officer by \nsubdelegation of the EEAS. \nThe EEAS may withdraw the delegation of powers referred to in the first subparagraph in accordance with its own rules. ']",without prejudice to the responsibility of heads of union delegations for budget implementation
